Nama Perenang:,sinus_freq
Gaya Renang:,Gaya Bebas
Time:,140526-0955
TimeStamp(s),Force(Kg),Roll(Deg),Pitch(Deg)
1287.15,38.73,7.97,-20.04
1287.25,37.96,8.86,-20.69
1287.35,35.97,9.65,-20.45
1287.45,32.86,10.34,-19.35
1287.55,28.87,10.93,-17.48
1287.65,24.30,11.40,-14.97
1287.75,19.50,11.76,-11.96
1287.85,14.89,12.01,-8.63
1287.95,10.83,12.13,-5.18
1288.05,7.69,12.15,-1.80
1288.15,5.72,12.04,1.34
1288.25,5.11,11.83,4.08
1288.35,5.93,11.51,6.29
1288.45,8.13,11.08,7.89
1288.55,11.57,10.56,8.83
1288.65,16.02,9.95,9.12
1288.75,21.18,9.26,8.81
1288.85,26.69,8.50,7.99
1288.95,32.20,7.69,6.77
1289.05,37.35,6.83,5.30
1289.15,41.83,5.94,3.71
1289.25,45.37,5.03,2.15
1289.35,47.78,4.12,0.73
1289.45,48.95,3.21,-0.46
1289.55,48.83,2.33,-1.35
1289.65,47.47,1.48,-1.93
1289.75,44.98,0.68,-2.19
1289.85,41.52,-0.05,-2.18
1289.95,37.30,-0.72,-1.97
1290.05,32.57,-1.31,-1.62
1290.15,27.57,-1.81,-1.21
1290.25,22.55,-2.22,-0.80
1290.35,17.73,-2.53,-0.45
1290.45,13.32,-2.75,-0.19
1290.55,9.50,-2.88,-0.04
1290.65,6.38,-2.92,0.03
1290.75,4.05,-2.88,0.04
1290.85,2.56,-2.77,0.02
1290.95,1.92,-2.60,0.00
1291.05,2.09,-2.38,0.01
1291.15,3.02,-2.11,0.06
1291.25,4.61,-1.83,0.14
1291.35,6.76,-1.53,0.23
1291.45,9.36,-1.24,0.29
1291.55,12.28,-0.96,0.28
1291.65,15.40,-0.70,0.15
1291.75,18.62,-0.47,-0.13
1291.85,21.81,-0.28,-0.57
1291.95,24.89,-0.13,-1.14
1292.05,27.77,-0.02,-1.80
1292.15,30.38,0.05,-2.48
1292.25,32.68,0.09,-3.07
1292.35,34.62,0.10,-3.46
1292.45,36.19,0.09,-3.54
1292.55,37.38,0.07,-3.22
1292.65,38.19,0.04,-2.45
1292.75,38.64,0.02,-1.21
1292.85,38.76,0.00,0.44
1292.95,38.57,0.00,2.42
1293.05,38.12,0.01,4.56
1293.15,37.44,0.04,6.67
1293.25,36.57,0.07,8.52
1293.35,35.56,0.10,9.91
1293.45,34.45,0.12,10.62
1293.55,33.27,0.13,10.51
1293.65,32.06,0.10,9.47
1293.75,30.85,0.03,7.49
1293.85,29.68,-0.09,4.64
1293.95,28.57,-0.25,1.06
1294.05,27.54,-0.47,-3.00
1294.15,26.60,-0.73,-7.27
1294.25,25.77,-1.02,-11.43
1294.35,25.05,-1.32,-15.14
1294.45,24.45,-1.60,-18.09
1294.55,23.97,-1.84,-19.99
1294.65,23.60,-2.00,-20.65
1294.75,23.33,-2.05,-19.94
1294.85,23.16,-1.96,-17.84
1294.95,23.09,-1.71,-14.42
1295.05,23.08,-1.29,-9.85
1295.15,23.14,-0.69,-4.37
1295.25,23.25,0.07,1.70
1295.35,23.39,0.96,8.00
1295.45,23.56,1.95,14.16
1295.55,23.74,2.96,19.81
1295.65,23.91,3.93,24.62
1295.75,24.08,4.79,28.29
1295.85,24.23,5.45,30.63
1295.95,24.36,5.85,31.47
1296.05,24.46,5.91,30.78
1296.15,24.54,5.58,28.57
1296.25,24.59,4.85,24.96
1296.35,24.62,3.72,20.12
1296.45,24.64,2.22,14.27
1296.55,24.66,0.41,7.70
1296.65,24.68,-1.61,0.69
1296.75,24.72,-3.71,-6.44
1296.85,24.79,-5.77,-13.41
1296.95,24.91,-7.62,-19.93
1297.05,25.08,-9.13,-25.77
1297.15,25.31,-10.15,-30.72
1297.25,25.62,-10.58,-34.63
1297.35,26.00,-10.34,-37.39
1297.45,26.45,-9.40,-38.95
1297.55,26.97,-7.77,-39.30
1297.65,27.54,-5.50,-38.48
1297.75,28.16,-2.73,-36.56
1297.85,28.79,0.39,-33.66
1297.95,29.40,3.67,-29.90
1298.05,29.95,6.89,-25.43
1298.15,30.42,9.83,-20.42
1298.25,30.74,12.27,-15.03
1298.35,30.89,14.02,-9.41
1298.45,30.81,14.93,-3.73
1298.55,30.47,14.90,1.88
1298.65,29.84,13.90,7.28
1298.75,28.89,11.95,12.37
1298.85,27.62,9.15,17.05
1298.95,26.05,5.66,21.27
1299.05,24.20,1.69,24.96
1299.15,22.13,-2.52,28.09
1299.25,19.91,-6.69,30.64
1299.35,17.64,-10.56,32.60
1299.45,15.43,-13.86,33.99
1299.55,13.42,-16.38,34.83
1299.65,11.73,-17.93,35.15
1299.75,10.50,-18.42,34.98
1299.85,9.87,-17.78,34.38
1299.95,9.94,-16.06,33.39
1300.05,10.79,-13.34,32.06
1300.15,12.47,-9.79,30.44
1300.25,14.95,-5.62,28.58
1300.35,18.19,-1.08,26.53
1300.45,22.04,3.56,24.34
1300.55,26.35,8.03,22.06
1300.65,30.87,12.06,19.71
1300.75,35.34,15.43,17.35
1300.85,39.45,17.95,14.99
1300.95,42.90,19.49,12.69
1301.05,45.41,19.97,10.45
1301.15,46.72,19.38,8.31
1301.25,46.67,17.78,6.27
1301.35,45.15,15.26,4.35
1301.45,42.19,11.98,2.57
1301.55,37.92,8.13,0.93
1301.65,32.58,3.92,-0.56
1301.75,26.51,-0.43,-1.90
1301.85,20.15,-4.69,-3.09
1301.95,13.99,-8.66,-4.12
1302.05,8.52,-12.16,-5.01
1302.15,4.21,-15.03,-5.75
1302.25,1.46,-17.15,-6.36
1302.35,0.55,-18.47,-6.82
1302.45,1.61,-18.95,-7.17
1302.55,4.60,-18.61,-7.39
1302.66,9.30,-17.49,-7.50
1302.76,15.36,-15.69,-7.51
1302.85,22.24,-13.31,-7.43
1302.95,29.35,-10.48,-7.27
1303.06,36.04,-7.34,-7.03
1303.16,41.72,-4.04,-6.73
1303.26,45.84,-0.71,-6.38
1303.35,48.03,2.51,-5.98
1303.45,48.09,5.50,-5.55
1303.56,46.03,8.18,-5.10
1303.66,42.07,10.45,-4.62
1303.76,36.62,12.26,-4.14
1303.85,30.23,13.58,-3.66
1303.95,23.54,14.40,-3.19
1304.06,17.20,14.72,-2.73
1304.16,11.85,14.57,-2.30
1304.26,7.96,14.00,-1.89
1304.35,5.87,13.05,-1.52
1304.45,5.73,11.78,-1.18
1304.56,7.46,10.26,-0.88
1304.66,10.80,8.56,-0.63
1304.76,15.34,6.75,-0.42
1304.86,20.54,4.88,-0.26
1304.96,25.86,3.03,-0.14
1305.06,30.74,1.24,-0.06
1305.16,34.73,-0.45,-0.01
1305.26,37.47,-1.99,-0.00
1305.36,38.79,-3.35,-0.01
1305.46,38.67,-4.52,-0.04
1305.56,37.24,-5.49,-0.07
1305.66,34.75,-6.25,-0.09
1305.76,31.56,-6.80,-0.10
1305.86,28.06,-7.15,-0.08
1305.96,24.63,-7.32,-0.02
1306.06,21.60,-7.32,0.10
1306.16,19.24,-7.16,0.28
1306.26,17.70,-6.88,0.53
1306.36,17.04,-6.49,0.87
1306.46,17.21,-6.02,1.30
1306.56,18.08,-5.49,1.83
1306.66,19.47,-4.91,2.44
1306.76,21.15,-4.31,3.14
1306.86,22.92,-3.71,3.90
1306.96,24.59,-3.11,4.72
1307.06,26.01,-2.54,5.57
1307.16,27.07,-2.01,6.41
1307.26,27.75,-1.51,7.21
1307.36,28.04,-1.06,7.93
1307.46,27.99,-0.67,8.53
1307.56,27.68,-0.33,8.94
1307.66,27.20,-0.04,9.11
1307.76,26.64,0.19,9.01
1307.86,26.07,0.37,8.58
1307.96,25.56,0.50,7.78
1308.06,25.14,0.59,6.58
1308.16,24.83,0.63,4.96
1308.26,24.62,0.65,2.93
1308.36,24.51,0.63,0.51
1308.46,24.47,0.60,-2.25
1308.56,24.46,0.54,-5.29
1308.66,24.48,0.48,-8.52
1308.76,24.50,0.40,-11.81
1308.86,24.53,0.33,-15.02
1308.96,24.56,0.25,-17.99
1309.06,24.61,0.19,-20.54
1309.16,24.69,0.12,-22.52
1309.26,24.82,0.07,-23.75
1309.36,25.02,0.04,-24.08
1309.46,25.30,0.01,-23.38
1309.56,25.65,0.00,-21.58
1309.66,26.07,0.00,-18.66
1309.76,26.54,0.02,-14.64
1309.86,27.03,0.05,-9.62
1309.96,27.49,0.09,-3.78
1310.06,27.90,0.14,2.65
1310.16,28.20,0.20,9.36
1310.26,28.36,0.26,15.99
1310.36,28.33,0.32,22.17
1310.46,28.10,0.38,27.50
1310.56,27.64,0.44,31.60
1310.66,26.96,0.48,34.13
1310.76,26.04,0.51,34.82
1310.86,24.93,0.53,33.51
1310.96,23.64,0.52,30.15
1311.06,22.23,0.49,24.84
1311.16,20.73,0.43,17.80
1311.26,19.22,0.35,9.42
1311.36,17.74,0.22,0.16
1311.46,16.37,0.07,-9.37
1311.56,15.15,-0.13,-18.56
1311.66,14.13,-0.37,-26.74
1311.76,13.37,-0.65,-33.30
1311.86,12.90,-0.97,-37.71
1311.96,12.75,-1.33,-39.60
1312.06,12.94,-1.74,-38.74
1312.16,13.47,-2.18,-35.13
1312.26,14.34,-2.66,-28.96
1312.36,15.55,-3.17,-20.64
1312.46,17.06,-3.71,-10.76
1312.56,18.85,-4.27,-0.05
1312.66,20.87,-4.85,10.69
1312.76,23.10,-5.43,20.62
1312.86,25.47,-6.02,28.97
1312.96,27.94,-6.59,35.05
1313.06,30.46,-7.14,38.41
1313.16,32.98,-7.66,38.77
1313.26,35.44,-8.13,36.11
1313.36,37.80,-8.54,30.68
1313.46,40.01,-8.88,22.93
1313.56,42.03,-9.13,13.52
1313.66,43.81,-9.29,3.25
1313.76,45.34,-9.33,-7.05
1313.86,46.57,-9.24,-16.52
1313.96,47.49,-9.02,-24.41
1314.06,48.08,-8.65,-30.13
1314.16,48.33,-8.12,-33.27
1314.26,48.23,-7.44,-33.65
1314.36,47.79,-6.58,-31.36
1314.46,47.02,-5.56,-26.67
1314.56,45.92,-4.38,-20.07
1314.66,44.52,-3.04,-12.19
1314.76,42.82,-1.56,-3.73
1314.86,40.87,0.05,4.58
1314.96,38.69,1.77,12.09
1315.06,36.31,3.57,18.25
1315.16,33.78,5.42,22.63
1315.26,31.12,7.29,25.00
1315.36,28.38,9.13,25.30
1315.46,25.61,10.91,23.67
1315.56,22.85,12.58,20.37
1315.66,20.14,14.10,15.79
1315.76,17.53,15.41,10.41
1315.86,15.06,16.46,4.69
1315.96,12.77,17.23,-0.88
1316.06,10.70,17.65,-5.89
1316.16,8.89,17.71,-10.01
1316.26,7.36,17.37,-13.03
1316.36,6.15,16.61,-14.82
1316.46,5.27,15.43,-15.40
1316.56,4.75,13.82,-14.85
1316.66,4.59,11.82,-13.35
1316.76,4.79,9.44,-11.13
1316.86,5.34,6.75,-8.45
1316.96,6.25,3.79,-5.56
1317.06,7.47,0.65,-2.70
1317.16,8.99,-2.60,-0.07
1317.26,10.77,-5.84,2.17
1317.36,12.77,-8.98,3.92
1317.46,14.92,-11.92,5.13
1317.56,17.20,-14.54,5.81
1317.66,19.53,-16.75,6.00
1317.76,21.85,-18.44,5.76
1317.86,24.11,-19.54,5.21
1317.96,26.24,-19.99,4.43
1318.06,28.19,-19.75,3.54
1318.16,29.91,-18.80,2.63
1318.26,31.36,-17.16,1.76
1318.36,32.51,-14.87,1.01
1318.46,33.33,-12.01,0.40
1318.56,33.81,-8.68,-0.05
1318.66,33.95,-5.00,-0.34
1318.76,33.77,-1.13,-0.49
1318.86,33.31,2.78,-0.53
1318.96,32.59,6.56,-0.48
1319.06,31.66,10.04,-0.38
1319.16,30.59,13.06,-0.26
1319.26,29.42,15.48,-0.15
1319.36,28.23,17.18,-0.06
1319.46,27.07,18.07,-0.01
1319.56,25.99,18.12,-0.00
1319.66,25.04,17.31,-0.02
1319.76,24.26,15.68,-0.07
1319.86,23.65,13.33,-0.12
1319.96,23.25,10.38,-0.17
1320.06,23.02,6.97,-0.18
1320.16,22.97,3.30,-0.14
1320.26,23.06,-0.45,-0.03
1320.36,23.26,-4.06,0.16
1320.46,23.53,-7.35,0.44
1320.56,23.83,-10.14,0.82
1320.66,24.13,-12.28,1.28
1320.76,24.41,-13.68,1.84
1320.86,24.66,-14.27,2.46
1320.96,24.85,-14.04,3.15
1321.06,25.01,-13.03,3.88
1321.16,25.14,-11.33,4.62
1321.26,25.25,-9.06,5.36
1321.36,25.36,-6.38,6.06
1321.46,25.48,-3.46,6.71
1321.56,25.60,-0.50,7.29
1321.66,25.72,2.33,7.76
1321.76,25.83,4.84,8.12
1321.86,25.88,6.91,8.34
1321.96,25.84,8.43,8.40
1322.06,25.68,9.33,8.31
1322.16,25.37,9.60,8.05
1322.26,24.89,9.26,7.62
1322.36,24.25,8.36,7.01
1322.46,23.50,7.02,6.23
1322.56,22.70,5.34,5.28
1322.67,21.93,3.47,4.17
1322.77,21.31,1.55,2.91
1322.86,20.97,-0.29,1.50
1322.96,21.00,-1.94,-0.03
1323.06,21.50,-3.30,-1.67
1323.17,22.49,-4.30,-3.41
1323.27,23.96,-4.92,-5.24
1323.36,25.83,-5.15,-7.13
1323.46,27.94,-5.02,-9.08
1323.56,30.09,-4.57,-11.06
1323.67,32.03,-3.89,-13.06
1323.77,33.50,-3.04,-15.06
1323.86,34.26,-2.10,-17.05
1323.96,34.13,-1.16,-19.01
1324.06,33.00,-0.29,-20.93
1324.17,30.86,0.46,-22.80
1324.27,27.85,1.06,-24.59
1324.36,24.20,1.47,-26.30
1324.46,20.24,1.71,-27.92
1324.56,16.41,1.78,-29.42
1324.67,13.11,1.70,-30.82
1324.77,10.79,1.52,-32.09
1324.87,9.76,1.26,-33.22
1324.97,10.26,0.97,-34.20
1325.07,12.34,0.68,-35.03
1325.17,15.89,0.41,-35.69
1325.27,20.62,0.19,-36.18
1325.37,26.11,0.03,-36.50
1325.47,31.80,-0.08,-36.63
1325.57,37.12,-0.14,-36.58
1325.67,41.49,-0.15,-36.33
1325.77,44.41,-0.13,-35.88
1325.87,45.52,-0.09,-35.23
1325.97,44.65,-0.06,-34.37
1326.07,41.80,-0.02,-33.31
1326.17,37.22,-0.00,-32.04
1326.27,31.32,-0.00,-30.57
1326.37,24.64,-0.01,-28.89
1326.47,17.83,-0.02,-27.00
1326.57,11.53,-0.03,-24.93
1326.67,6.35,-0.02,-22.67
1326.77,2.79,0.01,-20.24
1326.87,1.19,0.07,-17.63
