Nama Perenang:,alexa
Gaya Renang:,Gaya Bebas
Time:,140526-1302
TimeStamp(s),Force(Kg),Roll(Deg),Pitch(Deg)
280.44,36.51,9.73,-16.77
280.54,34.07,10.39,-18.31
280.64,31.31,10.86,-19.84
280.74,28.41,11.12,-21.34
280.84,25.56,11.16,-22.80
280.94,22.93,10.98,-24.20
281.04,20.68,10.57,-25.54
281.14,18.92,9.95,-26.79
281.24,17.74,9.12,-27.95
281.34,17.17,8.09,-29.00
281.44,17.20,6.89,-29.93
281.54,17.77,5.54,-30.72
281.64,18.78,4.05,-31.36
281.74,20.11,2.46,-31.82
281.84,21.62,0.78,-32.11
281.94,23.16,-0.95,-32.20
282.04,24.59,-2.72,-32.08
282.14,25.82,-4.49,-31.74
282.24,26.76,-6.24,-31.17
282.35,27.38,-7.95,-30.35
282.45,27.66,-9.59,-29.27
282.55,27.65,-11.15,-27.93
282.64,27.39,-12.60,-26.32
282.74,26.97,-13.94,-24.45
282.85,26.46,-15.14,-22.30
282.95,25.94,-16.20,-19.89
283.05,25.46,-17.11,-17.22
283.14,25.07,-17.85,-14.31
283.24,24.78,-18.43,-11.16
283.35,24.60,-18.85,-7.81
283.45,24.50,-19.09,-4.27
283.55,24.47,-19.18,-0.59
283.64,24.48,-19.09,3.21
283.74,24.51,-18.85,7.08
283.85,24.55,-18.46,10.97
283.95,24.62,-17.92,14.83
284.05,24.73,-17.24,18.59
284.15,24.89,-16.43,22.20
284.25,25.13,-15.51,25.59
284.35,25.45,-14.47,28.69
284.45,25.83,-13.34,31.43
284.55,26.23,-12.12,33.75
284.65,26.60,-10.82,35.59
284.75,26.87,-9.46,36.87
284.85,26.95,-8.05,37.57
284.95,26.78,-6.60,37.62
285.05,26.30,-5.13,37.01
285.15,25.51,-3.63,35.71
285.25,24.44,-2.13,33.73
285.35,23.18,-0.64,31.09
285.45,21.85,0.84,27.82
285.55,20.62,2.29,23.99
285.65,19.66,3.71,19.67
285.75,19.16,5.08,14.96
285.85,19.24,6.39,9.97
285.95,20.00,7.64,4.85
286.05,21.44,8.81,-0.28
286.15,23.50,9.91,-5.26
286.25,26.02,10.92,-9.94
286.35,28.78,11.84,-14.18
286.45,31.50,12.66,-17.82
286.55,33.89,13.37,-20.76
286.65,35.65,13.98,-22.90
286.75,36.54,14.47,-24.16
286.85,36.39,14.85,-24.51
286.95,35.13,15.12,-23.95
287.05,32.80,15.27,-22.52
287.15,29.54,15.30,-20.31
287.25,25.59,15.22,-17.41
287.35,21.29,15.02,-13.99
287.45,17.00,14.71,-10.20
287.55,13.11,14.29,-6.25
287.65,9.97,13.77,-2.31
287.75,7.89,13.15,1.41
287.85,7.08,12.44,4.75
287.95,7.66,11.65,7.55
288.05,9.61,10.79,9.70
288.15,12.82,9.86,11.13
288.25,17.08,8.88,11.82
288.35,22.07,7.85,11.77
288.45,27.44,6.80,11.07
288.55,32.81,5.73,9.81
288.65,37.80,4.65,8.12
