Nama Perenang:,Sinus_00
Gaya Renang:,Gaya Bebas
Time:,140526-0908
TimeStamp(s),Force(Kg),Roll(Deg),Pitch(Deg)
130.70,29.32,10.93,-15.59
130.80,27.00,10.95,-13.87
130.90,24.86,10.74,-11.85
131.00,22.98,10.32,-9.63
131.10,21.40,9.67,-7.28
131.20,20.16,8.82,-4.91
131.30,19.25,7.78,-2.62
131.40,18.67,6.56,-0.49
131.50,18.40,5.19,1.39
131.60,18.40,3.69,2.96
131.70,18.63,2.08,4.18
131.80,19.04,0.40,5.03
131.90,19.59,-1.34,5.50
132.00,20.23,-3.11,5.60
132.10,20.92,-4.87,5.39
132.20,21.62,-6.61,4.92
132.30,22.30,-8.31,4.25
132.40,22.93,-9.93,3.45
132.50,23.51,-11.46,2.61
132.60,24.00,-12.89,1.80
132.70,24.42,-14.19,1.06
132.80,24.76,-15.36,0.45
132.90,25.01,-16.37,-0.02
133.00,25.19,-17.23,-0.32
133.10,25.32,-17.93,-0.47
133.20,25.39,-18.46,-0.50
133.30,25.42,-18.82,-0.44
133.40,25.43,-19.01,-0.33
133.50,25.43,-19.04,-0.21
133.60,25.43,-18.90,-0.10
133.70,25.43,-18.60,-0.03
133.80,25.45,-18.15,-0.00
133.90,25.50,-17.55,-0.01
134.00,25.56,-16.81,-0.02
134.10,25.65,-15.95,-0.02
134.20,25.77,-14.98,0.03
134.30,25.90,-13.89,0.16
134.40,26.04,-12.72,0.37
134.50,26.19,-11.45,0.68
134.60,26.33,-10.12,1.05
134.70,26.45,-8.73,1.44
134.80,26.53,-7.29,1.78
134.90,26.58,-5.82,1.99
135.00,26.57,-4.32,2.00
135.10,26.48,-2.81,1.73
135.20,26.32,-1.30,1.14
135.30,26.06,0.20,0.20
135.40,25.71,1.68,-1.04
135.50,25.25,3.12,-2.51
135.60,24.68,4.53,-4.08
135.70,23.99,5.88,-5.60
135.80,23.21,7.17,-6.88
135.90,22.32,8.40,-7.73
136.00,21.34,9.55,-7.96
136.10,20.30,10.61,-7.45
136.20,19.20,11.59,-6.12
136.30,18.07,12.47,-3.99
136.40,16.94,13.25,-1.14
136.50,15.85,13.92,2.24
136.60,14.83,14.48,5.89
136.70,13.91,14.93,9.48
136.80,13.14,15.26,12.67
136.90,12.56,15.48,15.11
137.00,12.20,15.58,16.49
137.10,12.12,15.57,16.57
137.20,12.33,15.44,15.23
137.30,12.88,15.19,12.44
137.40,13.78,14.84,8.33
137.50,15.04,14.38,3.17
137.60,16.68,13.81,-2.70
137.70,18.67,13.16,-8.81
137.80,21.00,12.41,-14.67
137.90,23.62,11.59,-19.78
138.00,26.48,10.69,-23.67
138.10,29.51,9.73,-25.97
138.20,32.62,8.73,-26.42
138.30,35.72,7.68,-24.88
138.40,38.70,6.60,-21.41
138.50,41.44,5.51,-16.19
138.60,43.81,4.42,-9.54
138.70,45.71,3.34,-1.92
138.80,47.01,2.28,6.15
138.90,47.62,1.26,14.11
139.00,47.46,0.29,21.41
139.10,46.48,-0.63,27.52
139.20,44.66,-1.47,32.03
139.30,42.02,-2.24,34.61
139.40,38.62,-2.91,35.09
139.50,34.56,-3.49,33.43
139.60,29.99,-3.97,29.72
139.70,25.08,-4.34,24.20
139.80,20.05,-4.61,17.21
139.90,15.14,-4.77,9.16
140.00,10.60,-4.83,0.53
140.10,6.68,-4.79,-8.20
140.20,3.61,-4.66,-16.55
140.30,1.58,-4.45,-24.08
140.40,0.75,-4.17,-30.41
140.50,1.20,-3.83,-35.26
140.60,2.94,-3.44,-38.43
140.70,5.90,-3.01,-39.82
140.80,9.95,-2.57,-39.41
140.90,14.84,-2.12,-37.30
141.00,20.30,-1.69,-33.65
141.10,25.97,-1.27,-28.67
141.20,31.50,-0.89,-22.65
141.30,36.51,-0.54,-15.87
141.40,40.66,-0.25,-8.64
141.50,43.66,-0.01,-1.28
141.60,45.31,0.18,5.93
141.70,45.50,0.31,12.74
141.80,44.23,0.39,18.92
141.90,41.62,0.42,24.29
142.00,37.89,0.42,28.73
142.10,33.35,0.38,32.15
142.20,28.39,0.32,34.52
142.30,23.41,0.26,35.83
142.40,18.82,0.19,36.12
142.50,14.98,0.12,35.47
142.60,12.20,0.07,33.97
142.70,10.64,0.03,31.73
142.80,10.40,0.01,28.88
142.90,11.41,0.00,25.54
143.00,13.51,0.00,21.84
143.10,16.44,0.01,17.91
143.20,19.88,0.01,13.88
143.30,23.46,0.00,9.84
143.40,26.85,-0.02,5.89
143.50,29.74,-0.08,2.11
143.60,31.89,-0.17,-1.42
143.70,33.16,-0.29,-4.65
143.80,33.53,-0.44,-7.56
143.90,33.03,-0.62,-10.10
144.00,31.84,-0.80,-12.26
144.10,30.14,-0.98,-14.05
144.20,28.18,-1.13,-15.46
144.30,26.19,-1.23,-16.52
144.40,24.39,-1.25,-17.24
144.50,22.95,-1.17,-17.64
144.60,21.96,-0.98,-17.76
144.70,21.46,-0.66,-17.62
144.80,21.41,-0.22,-17.25
144.90,21.75,0.35,-16.70
145.00,22.36,1.02,-15.99
145.10,23.12,1.75,-15.14
145.20,23.90,2.51,-14.20
145.30,24.61,3.24,-13.19
145.40,25.18,3.88,-12.13
145.50,25.57,4.37,-11.05
145.60,25.80,4.64,-9.97
145.70,25.87,4.65,-8.90
145.80,25.83,4.35,-7.86
145.90,25.71,3.72,-6.86
146.00,25.57,2.76,-5.92
146.10,25.42,1.50,-5.04
146.20,25.27,-0.01,-4.23
146.30,25.12,-1.70,-3.49
146.40,24.97,-3.47,-2.82
146.50,24.80,-5.20,-2.23
146.60,24.60,-6.76,-1.72
146.70,24.37,-8.03,-1.28
146.80,24.13,-8.88,-0.91
146.90,23.92,-9.23,-0.60
147.00,23.77,-8.99,-0.36
147.10,23.73,-8.14,-0.18
147.20,23.86,-6.68,-0.04
147.30,24.17,-4.66,0.05
147.40,24.70,-2.18,0.10
147.50,25.42,0.62,0.12
147.60,26.30,3.57,0.11
147.70,27.26,6.47,0.09
147.80,28.23,9.13,0.07
147.90,29.08,11.34,0.04
148.00,29.72,12.93,0.01
148.10,30.04,13.74,0.00
148.20,29.95,13.69,0.01
148.30,29.41,12.74,0.04
148.40,28.40,10.90,0.11
148.50,26.95,8.26,0.21
148.60,25.13,4.96,0.35
148.70,23.04,1.21,0.53
148.80,20.82,-2.77,0.76
148.90,18.63,-6.72,1.04
149.00,16.62,-10.37,1.37
149.10,14.96,-13.48,1.74
149.20,13.79,-15.82,2.16
149.30,13.22,-17.23,2.61
149.40,13.31,-17.58,3.09
149.50,14.11,-16.85,3.60
149.60,15.60,-15.04,4.11
149.70,17.73,-12.27,4.63
149.80,20.40,-8.69,5.13
149.90,23.50,-4.52,5.59
150.00,26.86,-0.00,6.00
150.10,30.33,4.58,6.34
150.20,33.74,8.94,6.58
150.30,36.93,12.83,6.70
150.40,39.74,16.00,6.68
150.50,42.05,18.28,6.49
150.60,43.74,19.53,6.12
150.70,44.76,19.68,5.54
150.80,45.05,18.74,4.73
150.90,44.60,16.76,3.68
151.00,43.45,13.87,2.38
151.10,41.62,10.24,0.83
151.20,39.21,6.08,-0.97
151.30,36.29,1.63,-2.99
151.40,32.98,-2.87,-5.23
151.50,29.39,-7.19,-7.64
151.60,25.64,-11.09,-10.17
151.70,21.84,-14.41,-12.78
151.80,18.11,-16.97,-15.38
151.90,14.56,-18.69,-17.91
152.00,11.27,-19.49,-20.26
152.10,8.34,-19.38,-22.35
152.20,5.82,-18.38,-24.07
152.30,3.75,-16.58,-25.32
152.40,2.19,-14.10,-26.00
152.50,1.14,-11.07,-26.02
152.60,0.60,-7.65,-25.30
152.70,0.58,-4.01,-23.78
152.80,1.03,-0.32,-21.43
152.90,1.95,3.27,-18.24
153.00,3.27,6.60,-14.25
153.10,4.96,9.57,-9.52
153.20,6.97,12.06,-4.16
153.30,9.23,14.01,1.67
153.40,11.69,15.37,7.79
153.50,14.30,16.13,13.97
153.60,16.98,16.30,19.95
153.70,19.70,15.90,25.46
153.80,22.40,15.00,30.22
153.90,25.03,13.65,33.96
154.00,27.54,11.94,36.44
154.10,29.91,9.96,37.45
154.20,32.08,7.78,36.84
154.30,34.05,5.49,34.54
154.40,35.77,3.19,30.55
154.50,37.25,0.94,24.99
154.60,38.46,-1.20,18.05
154.70,39.40,-3.16,10.04
154.80,40.07,-4.90,1.32
154.90,40.47,-6.39,-7.64
155.00,40.61,-7.61,-16.37
155.10,40.50,-8.55,-24.35
155.20,40.16,-9.20,-31.08
155.30,39.61,-9.59,-36.13
155.40,38.87,-9.72,-39.14
155.50,37.97,-9.61,-39.86
155.60,36.92,-9.30,-38.19
155.70,35.77,-8.82,-34.18
155.80,34.53,-8.18,-28.04
155.90,33.24,-7.44,-20.14
156.00,31.93,-6.62,-10.98
156.10,30.62,-5.74,-1.17
156.20,29.33,-4.84,8.64
156.30,28.11,-3.94,17.75
156.40,26.96,-3.07,25.54
156.50,25.90,-2.24,31.44
156.60,24.96,-1.46,35.04
156.70,24.14,-0.76,36.09
156.80,23.46,-0.13,34.54
156.90,22.91,0.41,30.54
157.00,22.51,0.87,24.41
157.10,22.23,1.24,16.67
157.20,22.09,1.54,7.95
157.30,22.06,1.75,-1.06
157.40,22.13,1.89,-9.65
157.50,22.29,1.96,-17.16
157.60,22.51,1.98,-23.03
157.70,22.78,1.95,-26.87
157.80,23.09,1.87,-28.43
157.90,23.40,1.76,-27.70
158.00,23.70,1.63,-24.85
158.10,23.99,1.48,-20.21
158.20,24.24,1.31,-14.26
158.30,24.46,1.14,-7.56
158.40,24.64,0.98,-0.70
158.50,24.78,0.81,5.73
158.60,24.89,0.66,11.24
158.70,24.99,0.52,15.43
158.80,25.08,0.40,18.06
158.90,25.17,0.29,19.04
159.00,25.28,0.20,18.41
159.10,25.42,0.13,16.39
159.20,25.60,0.08,13.25
159.30,25.80,0.04,9.38
159.40,26.04,0.02,5.18
159.50,26.28,0.00,1.02
159.60,26.50,0.00,-2.74
159.70,26.68,0.00,-5.83
159.80,26.78,0.01,-8.08
159.90,26.76,0.02,-9.40
160.00,26.58,0.03,-9.81
160.10,26.22,0.03,-9.39
160.20,25.65,0.02,-8.30
160.30,24.88,-0.00,-6.74
160.40,23.91,-0.04,-4.91
160.50,22.79,-0.10,-3.02
160.60,21.58,-0.17,-1.24
160.70,20.37,-0.27,0.29
160.80,19.25,-0.39,1.48
160.90,18.36,-0.54,2.29
161.00,17.81,-0.72,2.73
161.10,17.70,-0.92,2.83
161.20,18.15,-1.15,2.66
161.30,19.19,-1.40,2.30
161.40,20.84,-1.69,1.83
161.50,23.06,-1.99,1.33
161.60,25.73,-2.31,0.87
161.70,28.68,-2.66,0.49
161.80,31.71,-3.01,0.21
161.90,34.54,-3.38,0.03
162.00,36.91,-3.74,-0.05
162.10,38.53,-4.11,-0.07
162.20,39.17,-4.47,-0.05
162.30,38.67,-4.80,-0.01
162.40,36.95,-5.12,-0.00
162.50,34.04,-5.40,-0.02
162.60,30.09,-5.65,-0.08
162.70,25.38,-5.84,-0.17
162.80,20.29,-5.97,-0.28
162.90,15.27,-6.04,-0.40
163.00,10.80,-6.03,-0.47
163.10,7.36,-5.94,-0.49
163.20,5.36,-5.75,-0.42
163.30,5.08,-5.47,-0.22
163.40,6.67,-5.07,0.10
163.50,10.07,-4.57,0.56
163.60,15.06,-3.95,1.15
163.70,21.21,-3.22,1.86
163.80,27.96,-2.37,2.66
163.90,34.66,-1.41,3.51
164.00,40.64,-0.34,4.37
164.10,45.26,0.82,5.20
164.20,48.01,2.07,5.94
164.30,48.55,3.40,6.54
164.40,46.78,4.78,6.96
164.50,42.81,6.20,7.16
164.60,37.02,7.63,7.11
164.70,29.97,9.04,6.78
164.80,22.36,10.41,6.17
164.90,14.97,11.70,5.26
165.00,8.54,12.88,4.07
165.10,3.75,13.92,2.61
165.20,1.06,14.78,0.91
165.30,0.75,15.43,-1.00
165.40,2.83,15.83,-3.08
165.50,7.06,15.96,-5.29
165.60,12.98,15.79,-7.58
165.70,19.97,15.30,-9.90
165.80,27.31,14.48,-12.21
165.90,34.28,13.32,-14.46
166.00,40.19,11.82,-16.61
166.10,44.50,10.00,-18.62
166.20,46.85,7.88,-20.44
166.30,47.08,5.50,-22.06
166.40,45.27,2.89,-23.44
166.50,41.67,0.12,-24.57
166.60,36.71,-2.76,-25.42
166.70,30.92,-5.66,-26.00
166.80,24.89,-8.51,-26.28
166.90,19.18,-11.22,-26.28
167.00,14.28,-13.70,-25.99
167.10,10.57,-15.87,-25.42
167.20,8.32,-17.64,-24.59
167.30,7.60,-18.93,-23.50
167.40,8.36,-19.68,-22.17
167.50,10.41,-19.84,-20.63
167.60,13.48,-19.39,-18.88
167.70,17.22,-18.30,-16.95
167.80,21.25,-16.59,-14.86
167.90,25.22,-14.30,-12.63
168.00,28.82,-11.49,-10.28
168.10,31.80,-8.25,-7.83
168.20,33.98,-4.69,-5.30
168.30,35.30,-0.93,-2.72
168.40,35.75,2.89,-0.10
168.50,35.41,6.61,2.53
168.60,34.39,10.08,5.17
168.70,32.87,13.15,7.79
168.80,31.02,15.68,10.38
168.90,29.03,17.56,12.91
169.00,27.06,18.69,15.39
169.10,25.24,19.02,17.79
